Item_ID,context_level,irony_label,irony_type,context_type,pronoun,tense,context,speaker,target_utterance,answering_options,notes,tok_Gemma-3-4B,tok_Mistral-7B-Instruct,tok_OLMo-2-7B,tok_Qwen3-8B,tok_ModernBERT-8B,tok_Llama-3-8B
C1B_21_H_N,unambiguous,non-ironic,EV,emotional,he,past simple,He passed with distinction and his tutor sent a personal note of congratulation.,He says:,"""That was worth all the effort.""","1. The result justified all his effort and hard work.
2. All his effort came to nothing and he was deeply disappointed.
3. He always made an effort to arrive five minutes early.
4. He became interested in birdwatching at weekends.",,136,148,131,131,136,132
C1B_22_L_I,ambiguous,ironic,US,emotional,I,past simple,"I had been looking forward to the new job, but colleagues had warned me the onboarding was usually chaotic.",I say:,"""That was a good introduction.""","1. The first day was a warm welcome and left me feeling confident.
2. The first day was chaotic and made me doubt whether the role was right for me.
3. I had recently started writing my doctoral thesis introduction.
4. I had been planning to visit my grandmother that weekend.",,140,151,134,134,140,135
C1B_22_L_N,ambiguous,non-ironic,US,emotional,I,past simple,I had been looking forward to the new job and had heard only positive things about the team from colleagues.,I say:,"""That was a good introduction.""","1. The first day was a warm welcome and left me feeling confident.
2. The first day was chaotic and made me doubt whether the role was right for me.
3. I had recently started writing my doctoral thesis introduction.
4. I had been planning to visit my grandmother that weekend.",,140,151,134,134,140,135
C1B_22_H_I,unambiguous,ironic,US,emotional,I,past simple,My laptop did not work on arrival and I ended up sitting in the wrong team meeting for an hour.,I say:,"""That was a good introduction.""","1. The first day was a warm welcome and left me feeling confident.
2. The first day was chaotic and made me doubt whether the role was right for me.
3. I had recently started writing my doctoral thesis introduction.
4. I had been planning to visit my grandmother that weekend.",,136,146,131,131,136,132
C1B_22_H_N,unambiguous,non-ironic,US,emotional,I,past simple,My manager introduced me to the whole team and I left feeling genuinely energised and welcomed.,I say:,"""That was a good introduction.""","1. The first day was a warm welcome and left me feeling confident.
2. The first day was chaotic and made me doubt whether the role was right for me.
3. I had recently started writing my doctoral thesis introduction.
4. I had been planning to visit my grandmother that weekend.",,137,147,132,132,137,133
C1B_23_L_I,ambiguous,ironic,US,emotional,she,past perfect,She had been asked to give a speech at a professional event but had barely had time to prepare it.,She says:,"""That speech was memorable.""","1. The speech had stood out and people had still been talking about it afterwards.
2. The speech had been forgettable and poorly received.
3. She had memorised a short speech for her friend's wedding.
4. Taking up watercolour painting had crossed many people's minds.",,139,150,133,133,139,134
C1B_23_L_N,ambiguous,non-ironic,US,emotional,she,past perfect,She had been asked to give a speech at a professional event and had spent weeks carefully preparing it.,She says:,"""That speech was memorable.""","1. The speech had stood out and people had still been talking about it afterwards.
2. The speech had been forgettable and poorly received.
3. She had memorised a short speech for her friend's wedding.
4. Taking up watercolour painting had crossed many people's minds.",,142,153,135,135,142,136
C1B_23_H_I,unambiguous,ironic,US,emotional,she,past perfect,She had lost her place twice and the microphone had cut out during the key section.,She says:,"""That speech was memorable.""","1. The speech had stood out and people had still been talking about it afterwards.
2. The speech had been forgettable and poorly received.
3. She had memorised a short speech for her friend's wedding.
4. Taking up watercolour painting had crossed many people's minds.",,135,146,130,130,135,131
C1B_23_H_N,unambiguous,non-ironic,US,emotional,she,past perfect,The audience had given her a standing ovation and three people had approached her afterwards.,She says:,"""That speech was memorable.""","1. The speech had stood out and people had still been talking about it afterwards.
2. The speech had been forgettable and poorly received.
3. She had memorised a short speech for her friend's wedding.
4. Taking up watercolour painting had crossed many people's minds.",,134,145,130,130,135,131
C1B_24_L_I,ambiguous,ironic,EV,emotional,they,past simple,They had been working on a creative project for months and had run into several technical problems along the way.,They say:,"""That turned out exactly as planned.""","1. They delivered a final result that matched the plan perfectly.
2. They produced something that looked nothing like what was agreed.
3. The leaves turned golden and covered the entire street.
4. Rush hour traffic made the evening commute unbearable.",,140,151,134,134,140,135
C1B_24_L_N,ambiguous,non-ironic,EV,emotional,they,past simple,They had been working on a creative project for months and had followed the client brief closely throughout.,They say:,"""That turned out exactly as planned.""","1. They delivered a final result that matched the plan perfectly.
2. They produced something that looked nothing like what was agreed.
3. The leaves turned golden and covered the entire street.
4. Rush hour traffic made the evening commute unbearable.",,139,150,133,133,139,134
C1B_24_H_I,unambiguous,ironic,EV,emotional,they,past simple,Their batch had a printing error that made the colours wrong and the whole run had to be redone.,They say:,"""That turned out exactly as planned.""","1. They delivered a final result that matched the plan perfectly.
2. They produced something that looked nothing like what was agreed.
3. The leaves turned golden and covered the entire street.
4. Rush hour traffic made the evening commute unbearable.",,141,151,136,136,141,137
C1B_24_H_N,unambiguous,non-ironic,EV,emotional,they,past simple,Their final piece looked even better than the mock-up and the client approved it at once.,They say:,"""That turned out exactly as planned.""","1. They delivered a final result that matched the plan perfectly.
2. They produced something that looked nothing like what was agreed.
3. The leaves turned golden and covered the entire street.
4. Rush hour traffic made the evening commute unbearable.",,139,149,133,133,139,134
C1B_25_L_I,ambiguous,ironic,PC,emotional,he,past simple,He had been working toward his driving test for a long time and had already failed it twice before.,He says:,"""That test was no problem at all.""","1. He passed comfortably and it had been a strong performance.
2. He failed again and the test proved far more difficult than he had prepared for.
3. He always tested the bath water temperature with his elbow.
4. He had been considering getting a new desk lamp for his study.",,142,154,136,136,142,137
C1B_25_L_N,ambiguous,non-ironic,PC,emotional,he,past simple,He had been taking regular lessons and his instructor had said he was ready to test.,He says:,"""That test was no problem at all.""","1. He passed comfortably and it had been a strong performance.
2. He failed again and the test proved far more difficult than he had prepared for.
3. He always tested the bath water temperature with his elbow.
4. He had been considering getting a new desk lamp for his study.",,140,151,134,134,140,135
C1B_25_H_I,unambiguous,ironic,PC,emotional,he,past simple,He failed for the third time on the same junction he had practised over and over.,He says:,"""That test was no problem at all.""","1. He passed comfortably and it had been a strong performance.
2. He failed again and the test proved far more difficult than he had prepared for.
3. He always tested the bath water temperature with his elbow.
4. He had been considering getting a new desk lamp for his study.",,138,150,134,134,139,135
C1B_25_H_N,unambiguous,non-ironic,PC,emotional,he,past simple,He passed first time and his instructor said it was one of the cleanest tests she had seen.,He says:,"""That test was no problem at all.""","1. He passed comfortably and it had been a strong performance.
2. He failed again and the test proved far more difficult than he had prepared for.
3. He always tested the bath water temperature with his elbow.
4. He had been considering getting a new desk lamp for his study.",,140,151,136,136,141,137
C1B_26_L_I,ambiguous,ironic,PC,emotional,I,past simple,I trained for the competition but picked up a minor injury just two weeks before.,I say:,"""That was my best performance yet.""","1. I ran better than ever and felt strong throughout.
2. The race went terribly and I finished last.
3. I watched a stunning performance at the theatre that week.
4. I resubscribed to a magazine I used to enjoy.",,141,152,135,135,141,136
C1B_26_L_N,ambiguous,non-ironic,PC,emotional,I,past simple,"I trained consistently for months and felt in good shape going into race day.
",I say:,"""That was my best performance yet.""","1. I ran better than ever and felt strong throughout.
2. The race went terribly and I finished last.
3. I watched a stunning performance at the theatre that week.
4. I resubscribed to a magazine I used to enjoy.",,139,150,133,133,139,134
C1B_26_H_I,unambiguous,ironic,PC,emotional,I,past simple,I came last and pulled a muscle badly on the very first bend of the race.,I say:,"""That was my best performance yet.""","1. I ran better than ever and felt strong throughout.
2. The race went terribly and I finished last.
3. I watched a stunning performance at the theatre that week.
4. I resubscribed to a magazine I used to enjoy.",,137,147,132,132,137,133
C1B_26_H_N,unambiguous,non-ironic,PC,emotional,I,past simple,I shaved thirty seconds off my personal best and felt strong the whole way round.,I say:,"""That was my best performance yet.""","1. I ran better than ever and felt strong throughout.
2. The race went terribly and I finished last.
3. I watched a stunning performance at the theatre that week.
4. I resubscribed to a magazine I used to enjoy.",,136,147,131,131,137,132
C1B_27_L_I,ambiguous,ironic,US,emotional,she,past simple,She had decided to try an ambitious new recipe for the first time with a group of guests coming that evening.,She says:,"""Well, that was a masterpiece."" 
","1. She impressed her guests and the cooking went smoothly.
2. She served something embarrassing after the cooking went wrong.
3. Creating a culinary masterpiece took years of practice.
4. She found that learning a new language opened many doors",,140,152,134,134,140,135
C1B_27_L_N,ambiguous,non-ironic,US,emotional,she,past simple,She had decided to cook a familiar recipe that she knew well for a group of guests coming that evening.,She says:,"""Well, that was a masterpiece."" 
","1. She impressed her guests and the cooking went smoothly.
2. She served something embarrassing after the cooking went wrong.
3. Creating a culinary masterpiece took years of practice.
4. She found that learning a new language opened many doors",,142,153,136,136,142,137
C1B_27_H_I,unambiguous,ironic,US,emotional,she,past simple,She burned the main course and ended up ordering takeaway twenty minutes before guests arrived.,She says:,"""Well, that was a masterpiece."" 
","1. She impressed her guests and the cooking went smoothly.
2. She served something embarrassing after the cooking went wrong.
3. Creating a culinary masterpiece took years of practice.
4. She found that learning a new language opened many doors",,136,148,131,131,137,132
C1B_27_H_N,unambiguous,non-ironic,US,emotional,she,past simple,Her guests asked for the recipe and she was still getting messages about it the next day.,She says:,"""Well, that was a masterpiece."" 
","1. She impressed her guests and the cooking went smoothly.
2. She served something embarrassing after the cooking went wrong.
3. Creating a culinary masterpiece took years of practice.
4. She found that learning a new language opened many doors",,138,149,133,133,138,134
C1B_28_L_I,ambiguous,ironic,US,emotional,he,past perfect,He had set aside his morning for the report but kept getting pulled into unplanned meetings.,He says:,"""Definitely got a lot done this morning.""","1. He made real progress and finished most of the report.
2. He achieved nothing and was no further forward.
3. He took a long walk every morning to clear his head.
4. He recently started following a podcast about history.",,141,153,136,136,142,137
C1B_28_L_N,ambiguous,non-ironic,US,emotional,he,past perfect,"He had had a clear plan for the morning, with no meetings scheduled and a quiet office to work in.",He says:,"""Definitely got a lot done this morning.""","1. He made real progress and finished most of the report.
2. He achieved nothing and was no further forward.
3. He took a long walk every morning to clear his head.
4. He recently started following a podcast about history.",,142,154,137,137,143,138
C1B_28_H_I,unambiguous,ironic,US,emotional,he,past perfect,He had drafted the entire report before lunch and had received positive feedback by afternoon.,He says:,"""Definitely got a lot done this morning.""","1. He made real progress and finished most of the report.
2. He achieved nothing and was no further forward.
3. He took a long walk every morning to clear his head.
4. He recently started following a podcast about history.",,142,155,136,136,144,137
C1B_28_H_N,unambiguous,non-ironic,US,emotional,he,past perfect,He had drafted the entire report before lunch and received positive feedback by afternoon.,He says:,"""Definitely got a lot done this morning.""","1. He made real progress and finished most of the report.
2. He achieved nothing and was no further forward.
3. He took a long walk every morning to clear his head.
4. He recently started following a podcast about history.",,136,148,132,132,137,133
C1B_29_L_I,ambiguous,ironic,EV,emotional,they,past simple,They booked the holiday at the last minute and were not entirely sure what to expect on arrival.,They say:,"""That was the holiday of a lifetime.""","1. They found the holiday restorative and everything felt right.
2. They found the holiday stressful and came home exhausted.
3. Meeting their hero felt like a once in a lifetime moment.
4. Getting a second monitor made working from home much easier.",,140,152,134,134,140,135
C1B_29_L_N,ambiguous,non-ironic,EV,emotional,they,past simple,They planned the holiday carefully months in advance and looked forward to every detail of it.,They say:,"""That was the holiday of a lifetime.""","1. They found the holiday restorative and everything felt right.
2. They found the holiday stressful and came home exhausted.
3. Meeting their hero felt like a once in a lifetime moment.
4. Getting a second monitor made working from home much easier.",,140,152,134,134,140,135
C1B_29_H_I,unambiguous,ironic,EV,emotional,they,past simple,The hotel gave away their room and it rained without stopping for the entire trip.,They say:,"""That was the holiday of a lifetime.""","1. They found the holiday restorative and everything felt right.
2. They found the holiday stressful and came home exhausted.
3. Meeting their hero felt like a once in a lifetime moment.
4. Getting a second monitor made working from home much easier.",,132,144,129,129,134,130
C1B_29_H_N,unambiguous,non-ironic,EV,emotional,they,past simple,"They had a sea-view room, warm weather all week, and spent every evening watching the sunset.",They say:,"""That was the holiday of a lifetime.""","1. They found the holiday restorative and everything felt right.
2. They found the holiday stressful and came home exhausted.
3. Meeting their hero felt like a once in a lifetime moment.
4. Getting a second monitor made working from home much easier.",,135,146,129,129,135,130
C1B_30_L_I,ambiguous,ironic,PC,emotional,I,past simple,I arranged a move to a new flat across the city and had far more boxes than I anticipated.,I say:,"""That move was incredibly straightforward.""","1. I moved smoothly and lost or damaged nothing.
2. I faced an exhausting ordeal with multiple setbacks.
3. I always found straightforward tasks the most satisfying.
4. I thought about getting a new bookshelf for the living room.",,141,152,135,135,141,136
C1B_30_L_N,ambiguous,non-ironic,PC,emotional,I,past simple,I planned the move carefully and arranged for friends to help with the larger items.,I say:,"""That move was incredibly straightforward.""","1. I moved smoothly and lost or damaged nothing.
2. I faced an exhausting ordeal with multiple setbacks.
3. I always found straightforward tasks the most satisfying.
4. I thought about getting a new bookshelf for the living room.",,139,150,133,133,139,134
C1B_30_H_I,unambiguous,ironic,PC,emotional,I,past simple,The van broke down twice and half my furniture was scratched by the time it arrived.,I say:,"""That move was incredibly straightforward.""","1. I moved smoothly and lost or damaged nothing.
2. I faced an exhausting ordeal with multiple setbacks.
3. I always found straightforward tasks the most satisfying.
4. I thought about getting a new bookshelf for the living room.",,136,148,131,131,136,132
C1B_30_H_N,unambiguous,non-ironic,PC,emotional,I,past simple,I got everything loaded and unpacked in four hours without a single thing getting damaged.,I say:,"""That move was incredibly straightforward.""","1. I moved smoothly and lost or damaged nothing.
2. I faced an exhausting ordeal with multiple setbacks.
3. I always found straightforward tasks the most satisfying.
4. I thought about getting a new bookshelf for the living room.",,135,146,131,131,136,132
C1B_31_L_I,ambiguous,ironic,EV,environmental,they,past simple,They held an outdoor event and the forecast predicted rain for most of the day.,They say:,"""The weather really delivered.""","1. It was warm and dry and the conditions were perfect.
2. The weather was awful and completely ruined their outdoor event.
3. The delivery driver arrived in heavy rain and handed over the parcel.
4. They meant to repot their houseplants but never got around to it.",,138,149,132,132,138,133
C1B_31_L_N,ambiguous,non-ironic,EV,environmental,they,past simple,They held an outdoor event and the forecast showed dry and sunny weather all week.,They say:,"""The weather really delivered.""","1. It was warm and dry and the conditions were perfect.
2. The weather was awful and completely ruined their outdoor event.
3. The delivery driver arrived in heavy rain and handed over the parcel.
4. They meant to repot their houseplants but never got around to it.",,136,147,130,130,136,131
C1B_31_H_I,unambiguous,ironic,EV,environmental,they,past simple,It poured all afternoon and the marquee roof above them caved in under the water.,They say:,"""The weather really delivered.""","1. It was warm and dry and the conditions were perfect.
2. The weather was awful and completely ruined their outdoor event.
3. The delivery driver arrived in heavy rain and handed over the parcel.
4. They meant to repot their houseplants but never got around to it.",,135,147,131,131,136,132
C1B_31_H_N,unambiguous,non-ironic,EV,environmental,they,past simple,It stayed warm and sunny the whole afternoon and their event finished well before dark.,They say:,"""The weather really delivered.""","1. It was warm and dry and the conditions were perfect.
2. The weather was awful and completely ruined their outdoor event.
3. The delivery driver arrived in heavy rain and handed over the parcel.
4. They meant to repot their houseplants but never got around to it.",,131,142,126,126,131,127
C1B_32_L_I,ambiguous,ironic,PC,environmental,she,past simple,"She went out for a run on a morning when the weather was unsettled.
",She says:,"""What a great run.""","1. She ran her best time in months in perfect conditions.
2. She came home cold and injured after a miserable run.
3. The show ran for six seasons before it was cancelled.
4. She recently started learning to identify different types of cloud.",,136,149,131,131,137,132
C1B_32_L_N,ambiguous,non-ironic,PC,environmental,she,past simple,She ran the same route regularly and usually enjoyed the morning conditions.,She says:,"""What a great run.""","1. She ran her best time in months in perfect conditions.
2. She came home cold and injured after a miserable run.
3. The show ran for six seasons before it was cancelled.
4. She recently started learning to identify different types of cloud.",,135,146,129,129,135,130
C1B_32_H_I,unambiguous,ironic,PC,environmental,she,past simple,"It was pouring with rain, her shoe came off and she twisted her ankle at the halfway point.",She says:,"""What a great run.""","1. She ran her best time in months in perfect conditions.
2. She came home cold and injured after a miserable run.
3. The show ran for six seasons before it was cancelled.
4. She recently started learning to identify different types of cloud.",,138,150,133,133,138,134
C1B_32_H_N,unambiguous,non-ironic,PC,environmental,she,past simple,"The air was crisp, her pace was her best in months and she felt strong the whole way.",She says:,"""What a great run.""","1. She ran her best time in months in perfect conditions.
2. She came home cold and injured after a miserable run.
3. The show ran for six seasons before it was cancelled.
4. She recently started learning to identify different types of cloud.",,138,149,133,133,138,134
C1B_33_L_I,ambiguous,ironic,US,environmental,he,past perfect,He had had an important meeting across town and had been driving in during the morning rush hour.,He says:,"""Traffic was an absolute dream today.""","1. He had an easy journey and arrived early.
2. He had an easy journey and arrived early.
3. He listened to music whenever he sat in traffic.
4.He had thought about joining a local history walking tour.",,137,150,131,131,138,132
C1B_33_L_N,ambiguous,non-ironic,US,environmental,he,past perfect,He had driven across town that morning and the roads had been clear all week at that hour.,He says:,"""Traffic was an absolute dream today.""","1. He had an easy journey and arrived early.
2. He had an easy journey and arrived early.
3. He listened to music whenever he sat in traffic.
4.He had thought about joining a local history walking tour.",,137,151,131,131,138,132
C1B_33_H_I,unambiguous,ironic,US,environmental,he,past perfect,He had sat in gridlock for ninety minutes and had arrived after the meeting had started.,He says:,"""Traffic was an absolute dream today.""","1. He had an easy journey and arrived early.
2. He had an easy journey and arrived early.
3. He listened to music whenever he sat in traffic.
4.He had thought about joining a local history walking tour.",,135,148,130,130,136,131
C1B_33_H_N,unambiguous,non-ironic,US,environmental,he,past perfect,He had sailed through every junction and had arrived twenty minutes ahead of schedule.,He says:,"""Traffic was an absolute dream today.""","1. He had an easy journey and arrived early.
2. He had an easy journey and arrived early.
3. He listened to music whenever he sat in traffic.
4.He had thought about joining a local history walking tour.",,132,146,127,127,133,128
C1B_34_L_I,ambiguous,ironic,EV,environmental,I,past simple,I organised a picnic for friends on a day when the forecast predicted showers.,I say:,"""Great day for it.""","1. The weather was perfect and I stayed outside for hours.
2. The weather was dreadful and ruined my picnic completely.
3. I spent the day exploring a new part of the city.
4. I heard back from a friend I had lost touch with.",,140,153,134,134,140,135
C1B_34_L_N,ambiguous,non-ironic,EV,environmental,I,past simple,I organised a picnic for friends on a day when the forecast showed sunshine all day.,I say:,"""Great day for it.""","1. The weather was perfect and I stayed outside for hours.
2. The weather was dreadful and ruined my picnic completely.
3. I spent the day exploring a new part of the city.
4. I heard back from a friend I had lost touch with.",,141,154,135,135,141,136
C1B_34_H_I,unambiguous,ironic,EV,environmental,I,past simple,The wind knocked over everything on the blanket and I was soaked within minutes.,I say:,"""Great day for it.""","1. The weather was perfect and I stayed outside for hours.
2. The weather was dreadful and ruined my picnic completely.
3. I spent the day exploring a new part of the city.
4. I heard back from a friend I had lost touch with.",,133,144,128,128,133,129
C1B_34_H_N,unambiguous,non-ironic,EV,environmental,I,past simple,"The sun stayed out all afternoon, the food was perfect, and I stayed until it got dark.",I say:,"""Great day for it.""","1. The weather was perfect and I stayed outside for hours.
2. The weather was dreadful and ruined my picnic completely.
3. I spent the day exploring a new part of the city.
4. I heard back from a friend I had lost touch with.",,132,142,127,127,132,128
C1B_35_L_I,ambiguous,ironic,EV,environmental,they,past simple,They worked to a tight deadline and a maintenance power cut was scheduled for that afternoon.,They say:,"""Great timing on that power cut.""","1. The cut came at a good moment and everything was saved.
2. The cut came at the worst moment and they lost everything.
3. They showed a talent for great timing on the dance floor.
4. They booked flights to visit family abroad that year.",,139,150,133,133,139,134
C1B_35_L_N,ambiguous,non-ironic,EV,environmental,they,past simple,They finished their work with time to spare and stored all their files safely in the cloud.,They say:,"""Great timing on that power cut.""","1. The cut came at a good moment and everything was saved.
2. The cut came at the worst moment and they lost everything.
3. They showed a talent for great timing on the dance floor.
4. They booked flights to visit family abroad that year.",,140,151,133,133,140,134
C1B_35_H_I,unambiguous,ironic,EV,environmental,they,past simple,The power cut out right as they submitted the final report and they lost everything.,They say:,"""Great timing on that power cut.""","1. The cut came at a good moment and everything was saved.
2. The cut came at the worst moment and they lost everything.
3. They showed a talent for great timing on the dance floor.
4. They booked flights to visit family abroad that year.",,136,146,131,131,136,132
C1B_35_H_N,unambiguous,non-ironic,EV,environmental,they,past simple,The power came back exactly as the deadline arrived and all their files were saved.,They say:,"""Great timing on that power cut.""","1. The cut came at a good moment and everything was saved.
2. The cut came at the worst moment and they lost everything.
3. They showed a talent for great timing on the dance floor.
4. They booked flights to visit family abroad that year.",,136,146,131,131,136,132
C1B_36_L_I,ambiguous,ironic,US,environmental,she,past simple,She was driving to an unfamiliar venue in a busy part of the city for the first time.,She says:,"""Parking today was an absolute pleasure.""","1. She found a space quickly and arrived on time.
2. She found no space and arrived late and stressed.
3. She took great pleasure in rearranging her furniture.
4. She meant to fix the squeaking bathroom door.",,140,154,134,134,141,135
C1B_36_L_N,ambiguous,non-ironic,US,environmental,she,past simple,She was driving to a venue in a quiet part of the city where parking was usually straightforward.,She says:,"""Parking today was an absolute pleasure.""","1. She found a space quickly and arrived on time.
2. She found no space and arrived late and stressed.
3. She took great pleasure in rearranging her furniture.
4. She meant to fix the squeaking bathroom door.",,142,155,136,136,143,137
C1B_36_H_I,unambiguous,ironic,US,environmental,she,past simple,"She drove around for forty minutes, missed the entrance twice and parked three streets away.",She says:,"""Parking today was an absolute pleasure.""","1. She found a space quickly and arrived on time.
2. She found no space and arrived late and stressed.
3. She took great pleasure in rearranging her furniture.
4. She meant to fix the squeaking bathroom door.",,136,148,131,131,137,132
C1B_36_H_N,unambiguous,non-ironic,US,environmental,she,past simple,The building was clearly signposted and there was a free space right outside.,She says:,"""Parking today was an absolute pleasure.""","1. She found a space quickly and arrived on time.
2. She found no space and arrived late and stressed.
3. She took great pleasure in rearranging her furniture.
4. She meant to fix the squeaking bathroom door.",,134,147,129,129,135,130
C1B_37_L_I,ambiguous,ironic,US,environmental,he,past simple,He was presenting remotely to a large group using a connection he had not tested that day.,He says:,"""Technology really is a wonderful thing.""","1. Everything worked perfectly and the presentation went smoothly.
2. The technology failed and the presentation was a mess.
3. He enjoyed reading about technology in science magazines.
4. He recently started keeping a journal of films he watched.",,140,154,134,134,141,135
C1B_37_L_N,ambiguous,non-ironic,US,environmental,he,past simple,He presented online using a known setup that always worked reliably.,He says:,"""Technology really is a wonderful thing.""","1. Everything worked perfectly and the presentation went smoothly.
2. The technology failed and the presentation was a mess.
3. He enjoyed reading about technology in science magazines.
4. He recently started keeping a journal of films he watched.",,137,151,131,131,138,132
C1B_37_H_I,unambiguous,ironic,US,environmental,he,past simple,The connection dropped four times during his presentation and the screen froze on the last slide.,He says:,"""Technology really is a wonderful thing.""","1. Everything worked perfectly and the presentation went smoothly.
2. The technology failed and the presentation was a mess.
3. He enjoyed reading about technology in science magazines.
4. He recently started keeping a journal of films he watched.",,137,150,132,132,138,133
C1B_37_H_N,unambiguous,non-ironic,US,environmental,he,past simple,Everything ran without a single glitch and the slides and screen shared perfectly the first time.,He says:,"""Technology really is a wonderful thing.""","1. Everything worked perfectly and the presentation went smoothly.
2. The technology failed and the presentation was a mess.
3. He enjoyed reading about technology in science magazines.
4. He recently started keeping a journal of films he watched.",,137,150,132,132,139,133
C1B_38_L_I,ambiguous,ironic,PC,environmental,I,past simple,I needed to print a document urgently before a meeting and the printer kept breaking down.,I say:,"""That came out perfectly.""","1. The document came out exactly as intended on the first attempt.
2. The printing failed and I left without the document I needed.
3. I always folded my clothes perfectly before putting them away.
4. I thought about replacing the shower curtain recently.",,134,146,128,128,134,129
C1B_38_L_N,ambiguous,non-ironic,PC,environmental,I,past simple,I needed to print a document and headed to the printer along the hall with plenty of time.,I say:,"""That came out perfectly.""","1. The document came out exactly as intended on the first attempt.
2. The printing failed and I left without the document I needed.
3. I always folded my clothes perfectly before putting them away.
4. I thought about replacing the shower curtain recently.",,134,145,128,128,134,129
C1B_38_H_I,unambiguous,ironic,PC,environmental,I,past simple,"It ran out of ink on the last page, jammed when I tried to reload it and a paper got stuck while printing.",I say:,"""That came out perfectly.""","1. The document came out exactly as intended on the first attempt.
2. The printing failed and I left without the document I needed.
3. I always folded my clothes perfectly before putting them away.
4. I thought about replacing the shower curtain recently.",,142,154,138,138,143,139
C1B_38_H_N,unambiguous,non-ironic,PC,environmental,I,past simple,My document came out double-sided and perfectly formatted on the first attempt without any adjustment needed.,I say:,"""That came out perfectly.""","1. The document came out exactly as intended on the first attempt.
2. The printing failed and I left without the document I needed.
3. I always folded my clothes perfectly before putting them away.
4. I thought about replacing the shower curtain recently.",,136,149,130,130,136,131
C1B_39_L_I,ambiguous,ironic,PC,procedural,they,past perfect,They had needed to submit an official form through an online government portal for the very first time.,They say:,"""What a simple process.""","1. They had completed the form quickly and without difficulty.
2. The process had been needlessly complicated and had taken far too long.
3. They had enjoyed the process of cooking meals from scratch.
4. They had considered joining an amateur dramatics group.",,138,149,132,132,138,133
C1B_39_L_N,ambiguous,non-ironic,PC,procedural,they,past perfect,They had needed to submit an official form online and the instructions had looked clear and simple.,They say:,"""What a simple process.""","1. They had completed the form quickly and without difficulty.
2. The process had been needlessly complicated and had taken far too long.
3. They had enjoyed the process of cooking meals from scratch.
4. They had considered joining an amateur dramatics group.",,140,151,134,134,140,135
C1B_39_H_I,unambiguous,ironic,PC,procedural,they,past perfect,The system had crashed twice and they had been asked to resubmit everything from scratch.,They say:,"""What a simple process.""","1. They had completed the form quickly and without difficulty.
2. The process had been needlessly complicated and had taken far too long.
3. They had enjoyed the process of cooking meals from scratch.
4. They had considered joining an amateur dramatics group.",,135,146,131,131,136,132
C1B_39_H_N,unambiguous,non-ironic,PC,procedural,they,past perfect,The whole thing had taken under ten minutes and the confirmation had arrived instantly.,They say:,"""What a simple process.""","1. They had completed the form quickly and without difficulty.
2. The process had been needlessly complicated and had taken far too long.
3. They had enjoyed the process of cooking meals from scratch.
4. They had considered joining an amateur dramatics group.",,134,144,129,129,134,130
C1B_40_L_I,ambiguous,ironic,PC,procedural,she,past simple,She needed to install a piece of software she had not used before on a new work laptop.,She says:,"""That was effortless to set up.""","1. The software installed and she used it within minutes.
2. Setting it up required several painful attempts.
3. She had set up a new morning routine recently.
4. She had been meaning to sort the boxes upstairs.",,141,153,135,135,142,136
C1B_40_L_N,ambiguous,non-ironic,PC,procedural,she,past simple,She needed to install a piece of software on her new laptop and the instructions looked simple enough.,She says:,"""That was effortless to set up.""","1. The software installed and she used it within minutes.
2. Setting it up required several painful attempts.
3. She had set up a new morning routine recently.
4. She had been meaning to sort the boxes upstairs.",,138,150,132,132,139,133
C1B_40_H_I,unambiguous,ironic,PC,procedural,she,past simple,"It took her three attempts, two reboots and a call to IT before it finally worked.",She says:,"""That was effortless to set up.""","1. The software installed and she used it within minutes.
2. Setting it up required several painful attempts.
3. She had set up a new morning routine recently.
4. She had been meaning to sort the boxes upstairs.",,139,151,135,135,140,136
C1B_40_H_N,unambiguous,non-ironic,PC,procedural,she,past simple,It installed in under two minutes and opened without a single configuration issue.,She says:,"""That was effortless to set up.""","1. The software installed and she used it within minutes.
2. Setting it up required several painful attempts.
3. She had set up a new morning routine recently.
4. She had been meaning to sort the boxes upstairs.",,134,145,129,129,135,130
C1B_41_L_I,ambiguous,ironic,PC,procedural,he,past perfect,He had needed to book an appointment through a service provider's online system for the first time.,He says:,"""That was about as easy as booking gets.""","1. The booking had gone through and the confirmation had arrived immediately.
2. He had struggled with the system and had nearly lost the appointment.
3. He had always booked restaurants well ahead of time.
4. He had thought about joining a vegetable garden nearby.",,141,152,134,134,140,135
C1B_41_L_N,ambiguous,non-ironic,PC,procedural,he,past perfect,He had needed to book an appointment online and the system was described as quick and easy to use.,He says:,"""That was about as easy as booking gets.""","1. The booking had gone through and the confirmation had arrived immediately.
2. He had struggled with the system and had nearly lost the appointment.
3. He had always booked restaurants well ahead of time.
4. He had thought about joining a vegetable garden nearby.",,142,153,135,135,141,136
C1B_41_H_I,unambiguous,ironic,PC,procedural,he,past perfect,The website had timed out three times and he had been charged before receiving a confirmation.,He says:,"""That was about as easy as booking gets.""","1. The booking had gone through and the confirmation had arrived immediately.
2. He had struggled with the system and had nearly lost the appointment.
3. He had always booked restaurants well ahead of time.
4. He had thought about joining a vegetable garden nearby.",,136,147,131,131,136,132
